Eviction ID,File Date,Neighborhoods - Analysis Boundaries
494,2003,Excelsior
540,2017,Pacific Heights
456,2008,North Beach
3216,2012,South of Market
13,1997,McLaren Park
1470,2007,
972,2014,Excelsior
611,2005,Bernal Heights
1140,2014,Nob Hill
12,2014,Mission Bay
660,2019,Outer Richmond
78,2005,Glen Park
192,2011,Lone Mountain/USF
492,2011,Marina
888,2007,Hayes Valley
600,2017,Inner Richmond
384,2011,Nob Hill
660,2013,Inner Sunset
1990,2014,
611,2002,Bayview Hunters Point
540,2013,Inner Richmond
636,2012,Haight Ashbury
108,2011,Golden Gate Park
702,2002,Hayes Valley
455,1998,Presidio Heights
1896,2007,Mission
109,2006,Chinatown
492,2008,Bayview Hunters Point
24,2017,Mission Bay
180,2020,Oceanview/Merced/Ingleside
276,2018,West of Twin Peaks
36,2009,Mission Bay
12,2008,Japantown
1417,1999,Hayes Valley
66,2023,Inner Richmond
12,2023,Lakeshore
228,2015,Twin Peaks
372,2009,Bernal Heights
732,2022,Western Addition
84,2021,Portola
60,2017,Financial District/South Beach
312,2010,West of Twin Peaks
351,2004,North Beach
312,2012,West of Twin Peaks
12,2020,Presidio
108,2014,Japantown
624,2004,Noe Valley
636,2014,North Beach
455,2001,Western Addition
13,2000,Lincoln Park
377,2002,Potrero Hill
740,2016,Hayes Valley
1170,2004,Tenderloin
360,2021,Potrero Hill
900,2016,Excelsior
1001,2002,Marina
216,2010,Outer Mission
24,2015,Mission Bay
143,1999,Golden Gate Park
1272,2013,Tenderloin
337,2003,Potrero Hill
312,2002,Visitacion Valley
240,2009,Treasure Island
276,2008,Western Addition
26,1998,Presidio
234,1999,Twin Peaks
754,2001,Haight Ashbury
182,2004,Visitacion Valley
588,2016,Russian Hill
24,2020,Presidio Heights
328,2006,Marina
1788,2010,South of Market
520,2000,Western Addition
84,2011,Financial District/South Beach
169,2002,Portola
18,2023,Bernal Heights
12,2013,Presidio
72,2019,Twin Peaks
65,2001,Japantown
13,2003,Japantown
36,2012,Mission Bay
442,2003,Pacific Heights
1170,2001,Excelsior
1740,2019,Mission
144,2007,Glen Park
120,2016,Twin Peaks
552,2014,Inner Richmond
10,2023,Golden Gate Park
528,2008,Inner Richmond
62,2023,Excelsior
663,1997,West of Twin Peaks
24,2007,Mission Bay
336,2016,Portola
910,2000,Marina
72,2010,Financial District/South Beach
559,2006,Russian Hill
559,2002,West of Twin Peaks
72,2007,Financial District/South Beach
81,2023,North Beach
195,2003,Presidio Heights
36,2018,Seacliff
1417,1997,Inner Richmond
108,2014,Twin Peaks
276,2011,West of Twin Peaks
264,2013,Outer Mission
24,2015,McLaren Park
260,2002,Outer Mission
516,2007,Bayview Hunters Point
403,2002,Presidio Heights
858,1999,Nob Hill
24,2014,Presidio
6,2023,Seacliff
39,2001,Seacliff
165,2023,Nob Hill
24,2022,Golden Gate Park
288,2019,Marina
624,2021,Financial District/South Beach
960,2016,Bayview Hunters Point
130,2002,Golden Gate Park
528,2015,Western Addition
636,2016,Inner Richmond
12,2018,Mission Bay
1313,2000,Haight Ashbury
1092,2008,Castro/Upper Market
92,2023,Haight Ashbury
240,2009,Nob Hill
48,2020,West of Twin Peaks
480,2020,Sunset/Parkside
84,2018,Financial District/South Beach
336,2021,Marina
1236,2018,Sunset/Parkside
504,2016,Inner Sunset
1032,2013,Nob Hill
156,2003,Financial District/South Beach
864,2017,Bayview Hunters Point
396,2016,Potrero Hill
912,2015,Bayview Hunters Point
264,2021,Inner Sunset
144,2009,Financial District/South Beach
288,2009,Potrero Hill
216,2021,Mission Bay
3732,2016,Lakeshore
1248,2000,Nob Hill
1447,2019,
492,2009,Excelsior
324,2014,Visitacion Valley
702,2003,Noe Valley
624,2002,Noe Valley
204,2021,North Beach
156,2009,Chinatown
636,2009,Outer Richmond
91,2001,Golden Gate Park
84,2015,Golden Gate Park
962,1998,Russian Hill
2443,1999,Sunset/Parkside
1418,2004,
1092,2021,South of Market
732,2014,Hayes Valley
364,1997,Bayview Hunters Point
585,2001,South of Market
1144,2004,Castro/Upper Market
252,2007,Bernal Heights
324,2018,Oceanview/Merced/Ingleside
975,1999,Excelsior
429,1997,Presidio Heights
22,2023,Presidio Heights
2262,2003,Mission
559,2003,Bayview Hunters Point
574,2006,Haight Ashbury
24,2016,Golden Gate Park
752,2016,Pacific Heights
768,2014,South of Market
240,2012,Financial District/South Beach
1170,1997,Marina
884,2002,Bernal Heights
26,2002,Presidio
2294,2006,Mission
132,2010,Russian Hill
528,2019,Hayes Valley
2158,2001,Sunset/Parkside
1755,2000,Hayes Valley
96,2008,Glen Park
325,2001,Chinatown
38,2023,Hayes Valley
1001,2000,Inner Richmond
351,2005,Presidio Heights
455,2006,Inner Sunset
819,2003,Haight Ashbury
1296,2008,Tenderloin
437,2023,Mission
25,2023,Mission Bay
1079,2002,Outer Richmond
444,2010,Inner Sunset
504,2019,Excelsior
336,2020,Marina
273,1998,Twin Peaks
60,2022,Glen Park
221,2002,Glen Park
286,1997,Portola
100,2023,Outer Richmond
432,2013,Noe Valley
228,2019,Lone Mountain/USF
702,1999,Financial District/South Beach
360,2019,Bernal Heights
650,1997,Potrero Hill
312,2022,Excelsior
132,2021,West of Twin Peaks
576,2017,Nob Hill
1140,2016,Outer Richmond
776,2016,Marina
286,2005,North Beach
936,2001,Inner Richmond
2124,2022,Tenderloin
312,1998,Chinatown
2301,1998,Hayes Valley
168,2018,Portola
